TCR_Group,Model,N_Rows,N_Scored,N_Positive,N_Negative,AUC01,Spearman_Rho_vs_log2FC,Spearman_P_vs_log2FC
SVAR.2,SCEPTR,172,172,147,25,0.5336811416295841,-0.01607213710686763,0.834244799481841
SVAR.21,ERGO,172,172,172,0,,-0.1532323442551403,0.044767005084519265
SVAR.21,EPACT,172,172,172,0,,-0.4343174982946834,2.63962946959686e-09
SVAR.21,PanPep,172,172,172,0,,-0.02086562572409508,0.7858647892168051
SVAR.21,TITAN,172,172,172,0,,-0.07890614359726172,0.30352495397116264
SVAR.21,NetTCR,172,172,172,0,,0.005305139877519286,0.9449343769468214
SVAR.21,NetTCR22,172,172,172,0,,0.03194521992039897,0.6774035207512259
SVAR.21,ERGO2,172,172,172,0,,0.11386181519743549,0.13695251479716505
SVAR.21,SCEPTR,172,172,172,0,,,
SVAR.26,ERGO,172,172,172,0,,-0.04084448249269497,0.5947354068948127
SVAR.26,EPACT,172,172,172,0,,-0.43551411126283235,2.3606278227894236e-09
SVAR.26,PanPep,172,172,172,0,,-0.07921740094287337,0.3016155521195139
SVAR.26,TITAN,172,172,172,0,,-0.23731024024640168,0.0017214697534251764
SVAR.26,NetTCR,172,172,172,0,,-0.008628084964894468,0.9105591846816046
SVAR.26,NetTCR22,172,172,172,0,,0.06825808977343209,0.37362321737317916
SVAR.26,ERGO2,172,172,172,0,,0.2572313294326015,0.0006581039164548864
SVAR.26,SCEPTR,172,172,172,0,,,
SVAR.3,ERGO,172,172,140,32,0.4851973684210526,-0.157300429457836,0.039324029054359624
SVAR.3,EPACT,172,172,140,32,0.5632048872180451,0.4000089617780167,5.433149441573287e-08
SVAR.3,PanPep,172,172,140,32,0.5072838345864662,0.02604811531449945,0.7344708458028938
SVAR.3,TITAN,172,172,140,32,0.47791353383458646,-0.2587925654976263,0.0006083369209125022
SVAR.3,NetTCR,172,172,140,32,0.524671052631579,0.01885275091209675,0.8060922202272605
SVAR.3,NetTCR22,172,171,139,32,0.5096554335478986,-0.15266757865937075,0.046212626392478695
SVAR.3,ERGO2,172,172,140,32,0.5011748120300752,0.21287996170019077,0.005051244831111404
SVAR.3,SCEPTR,172,172,140,32,0.5,,
SVAR.5,ERGO,172,172,168,4,0.49874686716791977,-0.10440713381536178,0.17287296115988515
SVAR.5,EPACT,172,172,168,4,0.7994987468671679,0.4489193091645038,6.553399410279235e-10
SVAR.5,PanPep,172,172,168,4,0.5676691729323309,0.02864704782939621,0.7091190300143212
SVAR.5,TITAN,172,172,168,4,0.4956140350877193,-0.29571998200573385,8.199072103714773e-05
SVAR.5,NetTCR,172,172,168,4,0.5112781954887218,0.018723052006057173,0.8074001447648028
SVAR.5,NetTCR22,172,172,168,4,0.761904761904762,0.023931498958491643,0.7553333675532272
SVAR.5,ERGO2,172,172,168,4,0.6303258145363408,0.20898642820465502,0.005936048159129583
SVAR.5,SCEPTR,172,172,168,4,0.5,,
SVAR.56,ERGO,172,172,162,10,0.4801819363222872,-0.14835751834216537,0.05210504424707091
SVAR.56,EPACT,172,172,162,10,0.5841455490578298,0.3595795511092558,1.2694275237981732e-06
SVAR.56,PanPep,172,172,162,10,0.5094217024041585,-0.20862311714223045,0.006025286713064537
SVAR.56,TITAN,172,172,162,10,0.47368421052631576,-0.2376993700813399,0.0016906746853028094
SVAR.56,NetTCR,172,172,162,10,0.5776478232618584,-0.09429205491211562,0.21856434822214008
SVAR.56,NetTCR22,172,172,162,10,0.5094217024041585,-0.014690240859576013,0.8483170658471318
SVAR.56,ERGO2,172,172,162,10,0.5419103313840156,0.17200717885586395,0.024055180068179464
SVAR.56,SCEPTR,172,172,162,10,0.5,,
SVAR.57,ERGO,172,172,129,43,0.5577505147400681,-0.032604459559114764,0.6711294768362428
SVAR.57,EPACT,172,172,129,43,0.5332707105785014,-0.0756836176449426,0.32376047594398105
SVAR.57,PanPep,172,172,129,43,0.6078487186056,0.23062142449160897,0.002337242267544547
SVAR.57,TITAN,172,172,129,43,0.4858292296452326,-0.041022659804775534,0.5931277204077318
SVAR.57,NetTCR,172,172,129,43,0.5830842655584337,-0.004898333635029393,0.9491509870254666
SVAR.57,NetTCR22,172,172,129,43,0.5190382662985208,-0.056112687615914474,0.4647051615776646
SVAR.57,ERGO2,172,172,129,43,0.4859241126070991,-0.016960214894710585,0.8252286344095265
SVAR.57,SCEPTR,172,172,129,43,0.5,,
SVAR.59,ERGO,172,172,172,0,,-0.0024538806631058336,0.9745137418734813
SVAR.59,EPACT,172,172,172,0,,-0.1643746289259798,0.031184402560859702
SVAR.59,PanPep,172,172,172,0,,-0.04194355366971384,0.5848501723974816
SVAR.59,TITAN,172,172,172,0,,-0.07318601795082343,0.3400295257152045
SVAR.59,NetTCR,172,172,172,0,,0.030455948950839726,0.6916583982184092
SVAR.59,NetTCR22,172,172,172,0,,0.07102575395523963,0.35451268182560547
SVAR.59,ERGO2,172,172,172,0,,0.1948836411299861,0.010411641772066991
SVAR.59,SCEPTR,172,172,172,0,,,
SVAR.6,ERGO,172,172,167,5,0.5083517176173968,-0.14906402372525973,0.05098348175956268
