ID,ERGO_Prob,ERGO2_Prob,NetTCR_Prob,NetTCR22_Prob,TITAN_Prob,EPACT_Prob,PanPep_Prob,SCEPTR_Prob
fp_87,0.11796607077121735,0.357831597328186,0.0055576265,0.3086421,0.0021059666760265827,0.30922267,0.748211,0.0
fp_88,0.13058291375637054,0.0007777799037285,0.006418526,0.6331111,0.018202994018793106,0.6448115,0.82786274,0.0
fp_89,0.11947941780090332,0.4027253985404968,0.0061932206,0.50719994,0.001845470629632473,0.43961644,0.7749953,0.0
fp_90,0.20216280221939087,0.0031667167786508,0.0056904554,0.21936421,0.010106044821441174,0.8331203,0.85920775,0.0
fp_91,0.10651033371686935,0.4437082409858703,0.006919116,0.4062713,0.010497309267520905,0.45492315,0.80232704,0.0
fp_92,0.057674162089824677,0.0005948143079876,0.0068327785,0.5486909,0.006070607341825962,0.25709456,0.8148992,0.0
fp_93,0.12254098802804947,0.4134575128555298,0.0061982274,0.76086247,0.005313039291650057,0.502417,0.78558695,0.0
fp_94,0.16827526688575745,0.0032080458477139,0.0029412806,0.30978847,0.010526726022362709,0.2817496,0.8275112,0.0
fp_95,0.13824531435966492,0.4261198341846466,0.007117629,0.6274899,0.0016344781033694744,0.6427968,0.79161215,0.0
fp_96,0.10848119854927063,0.0009780620457604,0.0031379461,0.3384679,0.008679053746163845,0.7796662,0.77768576,0.0
fp_97,0.11245226860046387,0.0005689485697075,0.0063628852,0.36644036,0.009883368387818336,0.7520406,0.806802,0.0
fp_98,0.18165834248065948,0.0011132630752399,0.006548077,0.6772937,0.0038797964807599783,0.6863619,0.8285436,0.0
fp_99,0.10595212876796722,0.0004578413208946,0.0081958175,0.48170176,0.004060870036482811,0.74780285,0.78116506,0.0
fp_100,0.12730585038661957,0.0011447699507698,0.003185451,0.30371994,0.010799456387758255,0.30760708,0.816785,0.0
fp_101,0.19897283613681793,0.0005249855457805,0.008236229,0.20734659,0.010816621594130993,0.7663054,0.81220627,0.0
fp_102,0.10621615499258041,0.0040338300168514,0.0038164556,0.21918423,0.026305878534913063,0.27162033,0.8315933,0.0
fp_103,0.13892532885074615,0.0005152661469765,0.007902026,0.27834716,0.01678982563316822,0.7234468,0.8265612,0.0
fp_104,0.06535352766513824,0.0006738997763022,0.0041568577,0.59237856,0.008486812002956867,0.20083855,0.8770085,0.0
fp_105,0.13255733251571655,0.0004699435667134,0.0090277195,0.4693923,0.010330301709473133,0.7214063,0.8058351,0.0
fp_106,0.10537424683570862,0.001546528423205,0.0041885376,0.2969071,0.01575666479766369,0.53312266,0.8171213,0.0
fp_107,0.13659772276878357,0.0009427844197489,0.0070248544,0.38803792,0.015191858634352684,0.695151,0.8444827,0.0
fp_108,0.0638127475976944,0.0012307052966207,0.0037068725,0.4585576,0.01214584894478321,0.35657513,0.8512738,0.0
fp_109,0.12237957864999771,0.0005436087958514,0.0065999627,0.36466798,0.00986300315707922,0.6902362,0.82529783,0.0
fp_110,0.09836830198764801,0.0013935971073806,0.004487604,0.26695052,0.01994810439646244,0.012981745,0.8431155,0.0
fp_111,0.21919789910316467,0.0003849570639431,0.0060710013,0.36939293,0.008894301019608974,0.7339777,0.79595166,0.0
fp_112,0.11443310976028442,0.001031907624565,0.004545033,0.3466267,0.012964588589966297,0.04316975,0.85931283,0.0
fp_113,0.12055690586566925,0.0004392881528474,0.011353493,0.36636302,0.004856513813138008,0.7570544,0.8047838,0.0
fp_114,0.16015256941318512,0.0040671159513294,0.0030943453,0.34536216,0.010525594465434551,0.47827464,0.8075795,0.0
fp_115,0.10611441731452942,0.0003714707563631,0.007158309,0.70768064,0.01095674466341734,0.7853079,0.8090875,0.0
fp_116,0.15022291243076324,0.0124463178217411,0.007417321,0.43143755,0.010925615206360817,0.59400165,0.8752488,0.0
fp_117,0.17091487348079681,0.0002478855021763,0.0073596835,0.35915637,0.0036266029346734285,0.7221828,0.7971189,0.0
fp_118,0.24204422533512115,0.0035022615920752,0.00807634,0.44704714,0.003904994111508131,0.5235848,0.8802862,0.0
fp_119,0.1253025233745575,0.0003415020473767,0.0069390833,0.69099677,0.007978172972798347,0.76865655,0.80408007,0.0
fp_120,0.10682287067174911,0.0021229076664894,0.014331043,0.23965833,0.012838105671107769,0.37824255,0.86621034,0.0
fp_121,0.2123304307460785,0.001506358734332,0.007275164,0.6129574,0.021941889077425003,0.7424012,0.81658846,0.0
fp_122,0.1596493422985077,0.0036683974321931,0.011114925,0.21883914,0.01973823644220829,0.6222689,0.8023391,0.0
fp_123,0.17775000631809235,0.0003620795323513,0.0067726374,0.5785593,0.006551193073391914,0.7865572,0.82010245,0.0
fp_124,0.08496775478124619,0.0035450223367661,0.012644708,0.2731986,0.01339402049779892,0.2101006,0.8100717,0.0
fp_125,0.14231336116790771,0.000863131484948,0.006540686,0.19816673,0.012723330408334732,0.7225184,0.8011844,0.0
fp_126,0.17429572343826294,0.0012729057343676,0.008845955,0.28917378,0.018851537257432938,0.33887002,0.87807614,0.0
fp_127,0.09827279299497604,0.0003232752496842,0.0069307387,0.23254657,0.011191351339221,0.7267474,0.806417,0.0
fp_128,0.19467252492904663,0.0111998822540044,0.009063512,0.18366142,0.012619493529200554,0.65602297,0.82736844,0.0
fp_129,0.13414229452610016,0.0006314064958132,0.0065917373,0.39330116,0.014814365655183792,0.73320585,0.8210223,0.0
fp_130,0.19685479998588562,0.005261281505227,0.009498715,0.28587905,0.009677662514150143,0.57836354,0.8521481,0.0
fp_131,0.20649409294128418,0.000386595405871,0.007466316,0.47253975,0.012723480351269245,0.70289314,0.8124342,0.0
fp_132,0.14504030346870422,0.0011570090427994,0.013670564,0.18179563,0.006547718308866024,0.29213408,0.83737683,0.0
fp_133,0.12399492412805557,0.0005153295351192,0.0071467757,0.658465,0.009171308018267155,0.7973216,0.81421506,0.0
fp_134,0.2497199922800064,0.0050364672206342,0.005228162,0.27717164,0.016917403787374496,0.19175245,0.8529669,0.0
fp_135,0.0743028074502945,0.0113397054374217,0.00740543,0.68979037,0.012404663488268852,0.793352,0.80854595,0.0
fp_136,0.1924717277288437,0.0004159895470365,0.0062551796,0.34309638,0.014859355986118317,0.5015134,0.85014355,0.0
fp_137,0.10584196448326111,0.0229270309209823,0.0070991516,0.61403805,0.003909420222043991,0.7698444,0.79079175,0.0
fp_138,0.19543887674808502,0.0251003801822662,0.008345902,0.35593262,0.006290945690125227,0.226686,0.8762021,0.0
fp_139,0.1184726133942604,0.0199650321155786,0.0119735,0.35538173,0.011764619499444962,0.7972331,0.8090591,0.0
fp_140,0.20588503777980804,0.0022572705056518,0.007468611,0.25828043,0.017227405682206154,0.04061806,0.8582022,0.0
fp_141,0.08496658504009247,0.0147095276042819,0.009105295,0.40514654,0.015264912508428097,0.7516604,0.7939569,0.0
fp_142,0.17075969278812408,0.0025310246273875,0.007730931,0.13430023,0.029749378561973572,0.012333521,0.8461305,0.0
fp_143,0.10410942882299423,0.0169049091637134,0.010975778,0.4609248,0.010229910723865032,0.76190054,0.81517833,0.0
fp_144,0.16070537269115448,0.0039241095073521,0.009038895,0.31970048,0.016425395384430885,0.38124487,0.7819984,0.0
fp_145,0.09139595925807953,0.005571449175477,0.007890135,0.55431986,0.01463956106454134,0.81178325,0.80766475,0.0
fp_146,0.17729783058166504,0.004102770704776,0.007457167,0.42982134,0.014222973957657814,0.46974933,0.8741555,0.0
fp_147,0.09413786977529526,0.0208125878125429,0.007816672,0.47265267,0.010364077053964138,0.81685346,0.81559587,0.0
fp_148,0.16662843525409698,0.0024508340284228,0.0077833235,0.15640625,0.016561755910515785,0.10224841,0.8246291,0.0
fp_149,0.1027776375412941,0.0271131973713636,0.00723809,0.4737483,0.009460165165364742,0.80126774,0.8033745,0.0
fp_150,0.11082171648740768,0.0021341475658118,0.008430451,0.14753576,0.014371558092534542,0.11708002,0.85989845,0.0
fp_151,0.1163720041513443,0.0176099482923746,0.011036605,0.4654624,0.006339843850582838,0.7355371,0.8083857,0.0
fp_152,0.20389997959136963,0.001910412334837,0.0050610304,0.31615365,0.016316024586558342,0.40333727,0.82764614,0.0
fp_153,0.10115113854408264,0.0106079671531915,0.007198423,0.7195846,0.011343634687364101,0.752593,0.7981576,0.0
fp_154,0.0929698646068573,0.0006465451442636,0.0075306296,0.49960464,0.01892130635678768,0.659689,0.835286,0.0
fp_155,0.07343248277902603,0.0892588123679161,0.0077033937,0.5189194,0.003561528865247965,0.6566608,0.79941654,0.0
fp_156,0.09450528025627136,0.002160333096981,0.008775383,0.29860407,0.02062152326107025,0.7457182,0.8064474,0.0
fp_157,0.08513548970222473,0.0348709188401699,0.007250786,0.73310274,0.008434189483523369,0.79344976,0.78707325,0.0
fp_158,0.09066208451986313,0.0006014661048538,0.009791195,0.32362258,0.031184935942292213,0.665087,0.7663199,0.0
fp_159,0.1336955577135086,0.001074212603271,0.0072795153,0.6964754,0.0270619448274374,0.8016367,0.8000079,0.0
fp_160,0.0779959186911583,0.0006852451479062,0.010517776,0.39167044,0.018664134666323662,0.4391224,0.8044115,0.0
fp_161,0.11632879078388214,0.0378377735614776,0.0071379244,0.70301086,0.01160914171487093,0.80763364,0.81338704,0.0
fp_162,0.20334544777870178,0.0020452528260648,0.006935835,0.6029573,0.02874750643968582,0.72636473,0.8213256,0.0
fp_163,0.10029412060976028,0.0128123452886939,0.007837385,0.39371255,0.013686850666999817,0.8126266,0.81718534,0.0
fp_164,0.1318344920873642,0.0007761384476907,0.0067190826,0.5894722,0.018188130110502243,0.34534883,0.7655678,0.0
fp_165,0.08005262166261673,0.0199433304369449,0.0074103177,0.6282419,0.012049701996147633,0.78464276,0.803213,0.0
fp_166,0.20848393440246582,0.0007919329800643,0.007399261,0.2733258,0.0158398374915123,0.6789013,0.839025,0.0
fp_167,0.09369948506355286,0.0145151568576693,0.0071200132,0.45700985,0.018415464088320732,0.6968183,0.81184036,0.0
fp_168,0.0930013582110405,0.0176833178848028,0.008207381,0.55328864,0.012869217433035374,0.6789835,0.76694834,0.0
